rank,player_name,points,player_url,scraped_at
236,Y. Zhou,236,/en/players/yi-zhou/z0cq/overview,2026-07-14T15:18:08.978153
237,A. Nedic,236,/en/players/andrej-nedic/n0db/overview,2026-07-14T15:18:08.978153
238,F. Roncadelli,236,/en/players/franco-roncadelli/r0bt/overview,2026-07-14T15:18:08.978153
239,J. Clarke,236,/en/players/jay-clarke/ci14/overview,2026-07-14T15:18:08.978153
240,S. Napolitano,233,/en/players/stefano-napolitano/n679/overview,2026-07-14T15:18:08.978153
241,S. Nagal,233,/en/players/sumit-nagal/n897/overview,2026-07-14T15:18:08.978153
242,J. McCabe,233,/en/players/james-mccabe/m0oq/overview,2026-07-14T15:18:08.978153
243,D. Added,232,/en/players/dan-added/a09t/overview,2026-07-14T15:18:08.978153
244,M. Houkes,228,/en/players/max-houkes/h0cx/overview,2026-07-14T15:18:08.978153
245,A. Barrena,227,/en/players/alex-barrena/b0gy/overview,2026-07-14T15:18:08.978153
246,P. Kotov,226,/en/players/pavel-kotov/k09f/overview,2026-07-14T15:18:08.978153
247,P. Herbert,224,/en/players/pierre-hugues-herbert/h996/overview,2026-07-14T15:18:08.978153
248,F. Balshaw,224,/en/players/felix-balshaw/b0wl/overview,2026-07-14T15:18:08.978153
249,M. Soto,224,/en/players/matias-soto/s0ek/overview,2026-07-14T15:18:08.978153
250,J. Reis Da Silva,224,/en/players/joao-lucas-reis-da-silva/r0a7/overview,2026-07-14T15:18:08.978153
251,D. Goffin,223,/en/players/david-goffin/gb88/overview,2026-07-14T15:18:08.978153
252,M. Kasnikowski,223,/en/players/maks-kasnikowski/k0hc/overview,2026-07-14T15:18:08.978153
253,A. Ilagan,222,/en/players/andre-ilagan/i0b0/overview,2026-07-14T15:18:08.978153
254,M. Dodig,220,/en/players/matej-dodig/d0l3/overview,2026-07-14T15:18:08.978153
255,B. Gadamauri,219,/en/players/buvaysar-gadamauri/g0cv/overview,2026-07-14T15:18:08.978153
256,H. Barton,219,/en/players/hynek-barton/b0ou/overview,2026-07-14T15:18:08.978153
257,D. Dedura,219,/en/players/diego-dedura/d0lj/overview,2026-07-14T15:18:08.978153
258,G. Hussey,218,/en/players/giles-hussey/h0dc/overview,2026-07-14T15:18:08.978153
259,K. Uchida,218,/en/players/kaichi-uchida/u120/overview,2026-07-14T15:18:08.978153
260,P. Boscardin Dias,217,/en/players/pedro-boscardin-dias/b0fi/overview,2026-07-14T15:18:08.978153
261,M. Basing,216,/en/players/max-basing/b0je/overview,2026-07-14T15:18:08.978153
262,K. Feldbausch,216,/en/players/kilian-feldbausch/f0f4/overview,2026-07-14T15:18:08.978153
263,F. Bax,215,/en/players/florent-bax/b0bu/overview,2026-07-14T15:18:08.978153
264,L. Pavlovic,214,/en/players/luka-pavlovic/p0ay/overview,2026-07-14T15:18:08.978153
265,M. Ribecai,214,/en/players/michele-ribecai/r0jw/overview,2026-07-14T15:18:08.978153
266,A. Andrade,213,/en/players/andy-andrade/ag08/overview,2026-07-14T15:18:08.978153
267,A. Shelbayh,212,/en/players/abdullah-shelbayh/s0nv/overview,2026-07-14T15:18:08.978153
268,C. Cretu,211,/en/players/cezar-cretu/c0b2/overview,2026-07-14T15:18:08.978153
269,S. Gueymard Wayenburg,211,/en/players/sascha-gueymard-wayenburg/g0gw/overview,2026-07-14T15:18:08.978153
270,F. Agamenone,210,/en/players/franco-agamenone/aa27/overview,2026-07-14T15:18:08.978153
271,A. Gray,209,/en/players/alastair-gray/g0ao/overview,2026-07-14T15:18:08.978153
272,I. Montes-De La Torre,209,/en/players/inaki-montes-de-la-torre/m0nl/overview,2026-07-14T15:18:08.978153
273,F. Sun,209,/en/players/fajing-sun/sx90/overview,2026-07-14T15:18:08.978153
274,J. Shang,205,/en/players/juncheng-shang/s0re/overview,2026-07-14T15:18:08.978153
275,N. Hardt,205,/en/players/nick-hardt/h0a4/overview,2026-07-14T15:18:08.978153
276,S. Dostanic,204,/en/players/stefan-dostanic/d0d4/overview,2026-07-14T15:18:08.978153
277,A. Guillen Meza,204,/en/players/alvaro-guillen-meza/g0dh/overview,2026-07-14T15:18:08.978153
278,M. Krumich,203,/en/players/martin-krumich/k0fy/overview,2026-07-14T15:18:08.978153
279,J. Varillas,202,/en/players/juan-pablo-varillas/v836/overview,2026-07-14T15:18:08.978153
280,J. Engel,201,/en/players/justin-engel/e0dd/overview,2026-07-14T15:18:08.978153
281,P. Henning,198,/en/players/philip-henning/h0bf/overview,2026-07-14T15:18:08.978153
282,F. Jianu,197,/en/players/filip-cristian-jianu/j09x/overview,2026-07-14T15:18:08.978153
